"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1582","should display the current number of todo items","chromium","Fri Feb 21 15:37:50 IST 2025","passed","Fri Feb 21 15:37:52 IST 2025","Counter","demo-todo-app.spec.ts","",""
"","1277","should allow me to clear the complete state of all items","chromium","Fri Feb 21 15:37:46 IST 2025","passed","Fri Feb 21 15:37:48 IST 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","1217","should allow me to display completed items","chromium","Fri Feb 21 15:37:53 IST 2025","passed","Fri Feb 21 15:37:54 IST 2025","Routing","demo-todo-app.spec.ts","",""
"","1879","should clear text input field when an item is added","chromium","Fri Feb 21 15:37:44 IST 2025","passed","Fri Feb 21 15:37:46 IST 2025","New Todo","demo-todo-app.spec.ts","",""
"","2048","should allow me to mark all items as completed","chromium","Fri Feb 21 15:37:44 IST 2025","passed","Fri Feb 21 15:37:46 IST 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","1048","should highlight the currently applied filter","chromium","Fri Feb 21 15:37:54 IST 2025","passed","Fri Feb 21 15:37:55 IST 2025","Routing","demo-todo-app.spec.ts","",""
"","1909","should allow me to add todo items","chromium","Fri Feb 21 15:37:44 IST 2025","passed","Fri Feb 21 15:37:46 IST 2025","New Todo","demo-todo-app.spec.ts","",""
"","1161","should allow me to mark items as complete","chromium","Fri Feb 21 15:37:47 IST 2025","passed","Fri Feb 21 15:37:48 IST 2025","Item","demo-todo-app.spec.ts","",""
"","1535","should persist its data","chromium","Fri Feb 21 15:37:52 IST 2025","passed","Fri Feb 21 15:37:53 IST 2025","Persistence","demo-todo-app.spec.ts","",""
"","1079","should remove the item if an empty text string was entered","chromium","Fri Feb 21 15:37:49 IST 2025","passed","Fri Feb 21 15:37:50 IST 2025","Editing","demo-todo-app.spec.ts","",""
"","2713","has title","chromium","Fri Feb 21 15:37:55 IST 2025","passed","Fri Feb 21 15:37:58 IST 2025","","example.spec.ts","",""
"","1578","should cancel edits on escape","chromium","Fri Feb 21 15:37:49 IST 2025","passed","Fri Feb 21 15:37:51 IST 2025","Editing","demo-todo-app.spec.ts","",""
"","1732","should hide other controls when editing","chromium","Fri Feb 21 15:37:48 IST 2025","passed","Fri Feb 21 15:37:49 IST 2025","Editing","demo-todo-app.spec.ts","",""
"","1150","should allow me to display all items","chromium","Fri Feb 21 15:37:54 IST 2025","passed","Fri Feb 21 15:37:55 IST 2025","Routing","demo-todo-app.spec.ts","",""
"","1104","should save edits on blur","chromium","Fri Feb 21 15:37:48 IST 2025","passed","Fri Feb 21 15:37:49 IST 2025","Editing","demo-todo-app.spec.ts","",""
"","1220","should allow me to un-mark items as complete","chromium","Fri Feb 21 15:37:47 IST 2025","passed","Fri Feb 21 15:37:48 IST 2025","Item","demo-todo-app.spec.ts","",""
"","821","should append new items to the bottom of the list","chromium","Fri Feb 21 15:37:44 IST 2025","failed","Fri Feb 21 15:37:45 IST 2025","New Todo","demo-todo-app.spec.ts","",""
"","1501","should display the correct text","chromium","Fri Feb 21 15:37:50 IST 2025","passed","Fri Feb 21 15:37:52 IST 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","1120","should allow me to edit an item","chromium","Fri Feb 21 15:37:48 IST 2025","passed","Fri Feb 21 15:37:49 IST 2025","Item","demo-todo-app.spec.ts","",""
"","1201","should trim entered text","chromium","Fri Feb 21 15:37:49 IST 2025","passed","Fri Feb 21 15:37:50 IST 2025","Editing","demo-todo-app.spec.ts","",""
"","1276","should be hidden when there are no items that are completed","chromium","Fri Feb 21 15:37:52 IST 2025","passed","Fri Feb 21 15:37:53 IST 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","1267","should respect the back button","chromium","Fri Feb 21 15:37:53 IST 2025","passed","Fri Feb 21 15:37:54 IST 2025","Routing","demo-todo-app.spec.ts","",""
"","3141","get started link","chromium","Fri Feb 21 15:37:55 IST 2025","passed","Fri Feb 21 15:37:59 IST 2025","","example.spec.ts","",""
"","30169","complete all checkbox should update state when items are completed / cleared","chromium","Fri Feb 21 15:37:47 IST 2025","failed","Fri Feb 21 15:38:17 IST 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","30106","should allow me to display active items","chromium","Fri Feb 21 15:37:52 IST 2025","failed","Fri Feb 21 15:38:22 IST 2025","Routing","demo-todo-app.spec.ts","",""
"","1070","should remove completed items when clicked","chromium","Fri Feb 21 15:37:51 IST 2025","passed","Fri Feb 21 15:37:52 IST 2025","Clear completed button","demo-todo-app.spec.ts","",""
